lat,lng
37.480125,126.637028
37.480347,126.637568
37.480526,126.638097
37.480707,126.638545
37.480825,126.638825
37.480911,126.639027
37.480862,126.638913
37.480717,126.638569
37.480575,126.638219
37.480466,126.637919
37.480458,126.637893
37.480398,126.637716
37.480371,126.637635
37.480229,126.637281
37.480109,126.636992
37.48004,126.636855
37.479921,126.63673
37.479793,126.636603
37.479747,126.636558
37.479577,126.63638
37.479261,126.636054
37.478834,126.635585
37.478465,126.635182
37.478153,126.634845
37.478108,126.634796
37.478043,126.634866
37.478174,126.635326
37.478523,126.635688
37.478799,126.635887
37.478902,126.636044
37.479315,126.636489
37.480706,126.638541
37.48083,126.638836
37.480854,126.638894
37.480897,126.638993
37.48094,126.639095
37.480974,126.639158
37.481138,126.639375
37.481384,126.639656
37.481566,126.640157
37.481902,126.640548
37.482322,126.640918
37.482713,126.641367
37.483156,126.641838
37.483603,126.642309
37.484179,126.642932
37.484878,126.643412
37.485488,126.644071
37.486051,126.644679
37.486401,126.645055
37.486548,126.645211
37.486558,126.645222
37.486616,126.645284
37.486894,126.645582
37.487226,126.646064
37.487713,126.646597
37.488105,126.646994
37.488568,126.647324
37.489206,126.64762
37.489703,126.647733
37.490295,126.647788
37.490779,126.64783
37.491297,126.647852
37.49199,126.647893
37.492709,126.647923
37.49337,126.647958
37.493945,126.647992
37.494492,126.648024
37.495273,126.648065
37.496035,126.648105
37.496616,126.648136
37.49742,126.648167
37.498154,126.648166
37.498719,126.648161
37.499311,126.648236
37.499921,126.64827
37.500599,126.648313
37.501135,126.648349
37.501589,126.648383
37.501699,126.648386
37.502126,126.648398
37.502431,126.648407
37.502509,126.648408
37.502675,126.648408
37.502783,126.648417
37.502946,126.648422
37.502988,126.648421
37.503027,126.648436
37.503123,126.648455
37.503221,126.648434
37.503364,126.648431
37.503428,126.648447
37.503548,126.648455
37.503812,126.648471
37.503982,126.648482
37.504072,126.64849
37.504215,126.648481
37.504471,126.648484
37.504566,126.648473
37.504774,126.648476
37.504901,126.648487
37.505163,126.648484
37.505481,126.648494
37.505723,126.648514
37.505937,126.648527
37.506151,126.648557
37.506151,126.648563
37.506228,126.648585
37.506391,126.648592
37.506679,126.648617
37.506716,126.648628
37.507019,126.648643
37.507378,126.648663
37.507747,126.648682
37.50814,126.648702
37.508368,126.648706
37.508539,126.648706
37.508613,126.648714
37.50896,126.648694
37.509332,126.648724
37.509624,126.64878
37.509896,126.648795
37.510108,126.648813
37.510326,126.648818
37.510386,126.648824
37.510538,126.648827
37.510603,126.648834
37.510715,126.648854
37.510936,126.648851
37.511199,126.648864
37.51158,126.648882
37.511946,126.6489
37.512093,126.648907
37.512168,126.64895
37.512329,126.648921
37.512432,126.648924
37.512619,126.648934
37.512998,126.648947
37.513339,126.648968
37.513651,126.648989
37.513832,126.648987
37.513829,126.648998
37.514106,126.64897
37.51448,126.649024
37.515049,126.649021
37.515622,126.649077
37.516297,126.649122
37.51693,126.649135
37.517645,126.649163
37.518323,126.649195
37.519135,126.649232
37.519988,126.649267
37.520696,126.649297
37.521339,126.649325
37.521829,126.649314
37.522518,126.649336
37.523291,126.649358
37.523996,126.649387
37.524837,126.649407
37.525641,126.649403
37.526326,126.649413
37.527124,126.649447
37.527699,126.649485
37.528266,126.649519
37.528857,126.649551
37.52957,126.649562
37.530284,126.649585
37.546082,126.650205
37.54693,126.650249
37.547676,126.650293
37.548626,126.650331
37.549475,126.650347
37.550535,126.650392
37.551444,126.650422
37.55212,126.650436
37.552563,126.650583
37.552596,126.651064
37.55258,126.651774
37.552566,126.652341
37.552553,126.652879
37.55256,126.653101
37.552556,126.653107
37.552574,126.653308
37.552566,126.653577
37.55254,126.653999
37.552532,126.654268
37.552525,126.654391
37.552544,126.654606
37.552572,126.654735
37.552579,126.655017
37.552576,126.655248
37.552571,126.65542
37.552558,126.655671
37.552597,126.655859
37.552584,126.656417
37.552565,126.657127
37.552551,126.658043
37.552529,126.659058
37.552507,126.659973
37.552457,126.661176
37.552392,126.662277
37.552355,126.663418
37.552327,126.664636
37.552285,126.666533
37.552288,126.667351
37.552314,126.668174
37.552331,126.668627
37.552339,126.668801
37.552414,126.668899
37.552414,126.668949
37.552352,126.669215
37.552349,126.669547
37.552343,126.669882
37.552336,126.670339
37.552303,126.670797
37.552297,126.671154
37.552289,126.67135
37.552316,126.671429
37.552283,126.671761
37.552274,126.672128
37.552262,126.672527
37.552251,126.673084
37.552248,126.673446
37.552254,126.673522
37.55228,126.673705
37.552231,126.674012
37.552217,126.674528
37.552217,126.675221
37.552193,126.67582
37.552184,126.67619
37.552169,126.676649
37.552216,126.677123
37.552854,126.67727
37.553775,126.677328
37.554488,126.677411
37.555118,126.677383
37.555614,126.6774
37.555911,126.677415
37.556036,126.677432
37.556482,126.677449
37.55678,126.677369
37.556799,126.676759
37.55681,126.676237
37.556821,126.67592
37.556826,126.675744
37.55683,126.675629
37.557141,126.67561
37.557529,126.675613
37.557962,126.675627
37.55824,126.675636
37.558719,126.675659
37.558991,126.67567
37.559279,126.675679
37.559608,126.675679
37.55967,126.675311
37.559703,126.674847
37.559702,126.674528
37.559985,126.674508
37.560377,126.674572
37.560737,126.674633
37.561177,126.674707
37.561504,126.67476
37.561708,126.674808
37.56179,126.67492
37.561758,126.675162
37.561779,126.675551
37.561781,126.676002
37.561757,126.676625
37.561747,126.676976
37.561826,126.677114
37.561892,126.677223
37.561895,126.677254
37.561677,126.677533
37.561581,126.677593
37.561665,126.677469
37.561694,126.67755
37.561694,126.67755
