lat,lng
37.453182,126.7149362
37.4531365,126.7148384
37.4538003,126.7142328
37.4537893,126.7140836
37.4537552,126.7139185
37.4537047,126.7137371
37.4536666,126.7135583
37.4533147,126.7130027
37.4533299,126.7128668
37.4535497,126.7127137
37.4536386,126.7125776
37.4536628,126.7124141
37.4536953,126.7122929
37.4537477,126.7122209
37.4538186,126.7121123
37.4538489,126.7119923
37.4539213,126.7118643
37.4540489,126.7117756
37.4541648,126.7117242
37.4542539,126.7116587
37.4543418,126.7116098
37.4544602,126.7115843
37.4545831,126.7115815
37.4546905,126.7116016
37.4548072,126.7116436
37.4550417,126.7117153
37.4552406,126.7117455
37.4553645,126.7117726
37.4554268,126.7118116
37.4554898,126.7118104
37.4555389,126.7117184
37.455561,126.7116409
37.4555688,126.7116112
37.4555709,126.7116022
37.4555715,126.7115992
37.4555717,126.7115984
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.4555717,126.7115983
37.455597,126.7115628
37.4556315,126.7115224
37.4556414,126.7115068
37.4556442,126.7115017
37.4556448,126.7115005
37.455645,126.7115001
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.455645,126.7115
37.4556308,126.7114556
37.4556188,126.7114062
37.4556179,126.7113804
37.4556182,126.711373
37.4556183,126.7113698
37.4556183,126.7113686
37.4556262,126.7113658
37.4556337,126.7113631
37.4570129,126.7108178
37.4569721,126.709914
37.4569938,126.7098235
37.4570234,126.7097684
37.4570523,126.7097587
37.4570559,126.7097974
37.4570795,126.7097993
37.457129,126.7097598
37.4571726,126.7097057
37.4571948,126.7096788
37.4572023,126.70967
37.4572057,126.7096662
37.4572073,126.7096643
37.4572079,126.7096637
37.4572081,126.7096634
37.4572082,126.7096634
37.4572083,126.7096633
37.4571943,126.7096252
37.4571716,126.709568
37.4571536,126.709519
37.4571437,126.7094552
37.4571351,126.7093731
37.457132,126.7092412
37.457132,126.709016
37.4571377,126.7088121
37.4571344,126.7085607
37.457131,126.7082985
37.4571364,126.7080451
37.4571352,126.7077944
37.4571212,126.7075282
37.4571063,126.707256
37.4570991,126.7070046
37.4571108,126.7067648
37.4571485,126.7065192
37.4571837,126.7062732
37.4571916,126.706032
37.4571791,126.7058293
37.4571636,126.705656
37.4571536,126.7054762
37.4571256,126.7052813
37.4571117,126.7050589
37.4570878,126.7048127
37.4570658,126.7045586
37.4570464,126.7043073
37.4570575,126.7040708
37.4570805,126.7038594
37.4571223,126.7036758
37.457161,126.703506
37.4571806,126.7033679
37.4571821,126.7032719
37.4570275,126.7034397
37.4569385,126.7035796
37.4569051,126.7036777
37.4569015,126.7037085
37.4569125,126.7036963
37.4569167,126.7036911
37.4569064,126.7037254
37.4568907,126.7037776
37.4568853,126.7038035
37.456884,126.703809
37.4568836,126.7038108
37.4568834,126.7038114
37.4568833,126.7038116
37.4568514,126.7038241
37.4567995,126.7038085
37.45677,126.7037471
37.4567504,126.7036663
37.4567256,126.7035793
37.4566764,126.7034535
37.4566324,126.7033623
37.4566024,126.7032581
37.4565789,126.7031064
37.4565549,126.7029277
37.4565306,126.7027086
37.4565506,126.7024207
37.4566135,126.7020605
37.4566832,126.7016483
37.4567225,126.7013321
37.4567614,126.7010955
37.4568025,126.7009093
37.4568315,126.7007547
37.4569055,126.7005864
37.4569743,126.7004183
37.4570613,126.7002364
37.457156,126.7000504
37.4572555,126.6998717
37.4573535,126.6997013
37.4574587,126.6995286
37.4575857,126.699341
37.4577533,126.6992001
37.4580168,126.6991595
37.458236,126.6990756
37.4584017,126.6989935
37.4585452,126.6989296
37.458673,126.6989142
37.4588071,126.6989516
37.4589726,126.6989944
37.4592771,126.6992263
37.4596178,126.6994712
37.459938,126.6996935
37.4602493,126.6998995
37.4605768,126.7001129
37.4609115,126.7002872
37.4612115,126.7004222
37.4614858,126.7005248
37.4617573,126.7005979
37.4620374,126.7006766
37.4622971,126.7007041
37.4625288,126.7007377
37.4627757,126.7007892
37.4629957,126.7008148
37.463159,126.7008425
37.4633085,126.7008842
37.4634213,126.7009599
37.4635291,126.7010022
37.4636042,126.7010412
37.4636433,126.701098
37.4637094,126.7011146
37.4636675,126.7011581
37.4635917,126.7011926
37.4635088,126.7012379
37.4634524,126.7012652
37.4634368,126.7012433
37.4634247,126.7012099
37.4634073,126.7011822
37.4634035,126.7011755
37.4634023,126.701173
37.4633425,126.7010938
37.4633077,126.7010506
37.4632918,126.7010308
37.4632279,126.700969
37.4631957,126.7009328
37.4631474,126.7008797
37.4631401,126.7008703
37.4631376,126.7008666
37.463137,126.7008656
37.4630913,126.7008779
37.4630292,126.7009046
37.4630152,126.7009112
37.46301,126.7009139
37.4630089,126.7009146
37.4630085,126.7009148
37.4630084,126.7009149
37.4630083,126.700915
37.4630248,126.7008655
37.4630672,126.7007692
37.4631085,126.7007002
37.4631533,126.7006299
37.4631922,126.7005797
37.4632282,126.7005258
37.4632572,126.7004649
37.4632777,126.7003965
37.4632881,126.7003264
37.4633004,126.7002467
37.4632975,126.7000993
37.4632871,126.699911
37.4632853,126.6997619
37.4632867,126.699622
37.463291,126.6995119
37.4634939,126.6974681
37.4634724,126.6972424
37.4634808,126.6970264
37.4634998,126.6968117
37.4635245,126.6966387
37.4635397,126.6965139
37.4635447,126.6964227
37.4635582,126.6963561
