lat,lng
37.411251,126.724586
37.408971,126.723124
37.408423,126.722949
37.408179,126.72293
37.408143,126.722932
37.408104,126.722934
37.408134,126.723084
37.408517,126.722977
37.409016,126.723142
37.409392,126.723351
37.409396,126.723354
37.409569,126.723475
37.409982,126.723774
37.410415,126.724086
37.410868,126.72441
37.411356,126.724759
37.411876,126.725104
37.412343,126.725413
37.413005,126.725789
37.413579,126.726069
37.414509,126.726432
37.415231,126.726698
37.41591,126.727003
37.416572,126.727389
37.41729,126.727873
37.417972,126.728324
37.41855,126.728785
37.419103,126.729381
37.41932,126.729654
37.419411,126.729768
37.419581,126.729977
37.419872,126.73035
37.420379,126.730927
37.420779,126.731314
37.42098,126.731502
37.420986,126.731508
37.421205,126.731712
37.421655,126.732097
37.422287,126.732354
37.422462,126.732524
37.422547,126.732481
37.422771,126.732591
37.423261,126.732725
37.424395,126.733313
37.425053,126.733699
37.425636,126.73404
37.426073,126.734296
37.426198,126.734369
37.426395,126.734515
37.426773,126.734654
37.427278,126.734483
37.427908,126.734349
37.428768,126.734171
37.429524,126.733965
37.430404,126.733402
37.431215,126.73284
37.431916,126.732432
37.432589,126.732288
37.433477,126.732254
37.434253,126.732243
37.435246,126.73223
37.436099,126.732218
37.437024,126.732197
37.438015,126.732176
37.438832,126.732159
37.439571,126.733155
37.439578,126.734045
37.439576,126.734717
37.439581,126.735542
37.439583,126.736151
37.439588,126.736684
37.43959,126.7369
37.439592,126.737166
37.439594,126.737678
37.439594,126.738295
37.439594,126.738755
37.439904,126.738786
37.440341,126.738781
37.440654,126.738772
37.440934,126.738764
37.441152,126.738766
37.441171,126.738766
37.44124,126.738769
37.441332,126.738772
37.441348,126.738773
37.44136,126.738774
37.441571,126.738782
37.442122,126.738776
37.442651,126.738775
37.443294,126.738778
37.443815,126.738779
37.444386,126.738782
37.444904,126.738785
37.445503,126.740494
37.445617,126.74056
37.445848,126.740441
37.44588,126.740264
37.445828,126.740067
37.445831,126.740037
37.445823,126.739982
37.445753,126.739712
37.445727,126.739596
37.445727,126.739596
