lat,lng
37.518053,126.648986
37.517858,126.648959
37.517599,126.648953
37.517232,126.648939
37.51671,126.648918
37.516216,126.648902
37.515693,126.648856
37.514914,126.648826
37.514128,126.64879
37.513444,126.648747
37.512762,126.648706
37.511951,126.648664
37.511109,126.648621
37.510385,126.648585
37.509623,126.648547
37.508674,126.648507
37.507708,126.648467
37.506977,126.648443
37.506254,126.648407
37.50533,126.648364
37.504348,126.648321
37.503405,126.648291
37.502513,126.648238
37.501781,126.648163
37.500871,126.648126
37.499898,126.648101
37.499176,126.648083
37.498307,126.648045
37.497331,126.648003
37.496491,126.647954
37.495626,126.647906
37.494756,126.647816
37.494031,126.647777
37.493441,126.647745
37.49321,126.647732
37.493164,126.64773
37.493108,126.647727
37.493057,126.647724
37.492907,126.647716
37.492572,126.647695
37.492149,126.647669
37.491795,126.647655
37.491577,126.648394
37.491206,126.649027
37.490862,126.649619
37.490553,126.650234
37.490343,126.650964
37.490042,126.651806
37.489834,126.652192
37.48973,126.652382
37.489721,126.6524
37.489655,126.652521
37.489522,126.652764
37.489309,126.653132
37.48905,126.653566
37.488761,126.654116
37.488484,126.654641
37.488248,126.655091
37.487978,126.655179
37.487839,126.655081
37.487738,126.65499
37.487736,126.654988
37.487736,126.654988
