lat,lng
37.448395,126.658343
37.448394,126.658357
37.448328,126.658372
37.448345,126.658408
37.448335,126.658355
37.448284,126.658209
37.448248,126.658031
37.448263,126.657988
37.448201,126.657749
37.44788,126.657477
37.447545,126.657257
37.447184,126.657025
37.446804,126.656781
37.446597,126.656649
37.446438,126.656551
37.446325,126.656487
37.446236,126.656475
37.44623,126.656475
37.446182,126.656476
37.446023,126.656529
37.445861,126.656935
37.44573,126.657266
37.445563,126.657674
37.44537,126.658181
37.445156,126.658695
37.444904,126.659337
37.444685,126.65988
37.444433,126.660476
37.444141,126.661201
37.443927,126.661731
37.443737,126.662204
37.443553,126.662663
37.443515,126.662759
37.443405,126.663033
37.443251,126.663448
37.443098,126.663829
37.442866,126.664337
37.442687,126.664752
37.442644,126.664851
37.442615,126.664919
37.442601,126.664953
37.442591,126.664978
37.442469,126.665289
37.442329,126.665664
37.442129,126.666176
37.441942,126.666665
37.441704,126.667263
37.441555,126.667643
37.4414,126.668034
37.441239,126.668374
37.44102,126.668941
37.44083,126.669478
37.440681,126.669856
37.440653,126.669926
37.440573,126.670128
37.440405,126.670551
37.440214,126.671065
37.440098,126.671384
37.440083,126.671427
37.440071,126.671459
37.439986,126.671666
37.439928,126.671808
37.439823,126.672061
37.439672,126.672429
37.439615,126.673112
37.439576,126.673613
37.439533,126.674219
37.439512,126.674593
37.439501,126.6748
37.439499,126.674832
37.439498,126.67529
37.439469,126.67592
37.439485,126.676844
37.439474,126.678702
37.439279,126.679551
37.438967,126.680492
37.438732,126.681252
37.438576,126.682226
37.438559,126.683266
37.438533,126.684204
37.438507,126.68536
37.43849,126.686267
37.43847,126.687324
37.438448,126.688207
37.438434,126.688735
37.438427,126.688958
37.438428,126.688918
37.438422,126.689275
37.438462,126.690032
37.438512,126.690838
37.438567,126.691765
37.438628,126.692713
37.438689,126.693622
37.438739,126.694215
37.438743,126.694273
37.438747,126.694324
37.438766,126.694562
37.438532,126.694927
37.43801,126.695293
37.437343,126.695735
37.436704,126.696156
37.435908,126.696681
37.435212,126.697081
37.434891,126.697293
37.434775,126.697324
37.434675,126.697432
37.434261,126.697635
37.433574,126.697929
37.433009,126.698155
37.432241,126.698373
37.431594,126.698553
37.430956,126.698726
37.43037,126.698822
37.429849,126.698884
37.429408,126.698924
37.429264,126.698935
37.429061,126.698948
37.428769,126.698951
37.428596,126.698945
37.428364,126.698926
37.427997,126.698916
37.427545,126.698863
37.426993,126.698799
37.426541,126.698749
37.426064,126.698741
37.425411,126.698604
37.424973,126.698504
37.424843,126.698457
37.424655,126.698393
37.424342,126.698314
37.424251,126.698274
37.424196,126.698251
37.423981,126.698336
37.423912,126.698318
37.423859,126.698309
37.423511,126.698215
37.423201,126.698359
37.42312,126.698841
37.423104,126.699108
37.423104,126.699118
37.423086,126.699384
37.423046,126.699977
37.423002,126.700672
37.422987,126.701167
37.422984,126.701171
37.422958,126.701555
37.422908,126.702035
37.422863,126.702498
37.4228,126.703162
37.422759,126.703781
37.422752,126.703933
37.422786,126.704012
37.422764,126.704156
37.422728,126.704355
37.422686,126.704883
37.422626,126.705439
37.422546,126.706221
37.422484,126.706847
37.422423,126.707507
37.422388,126.707905
37.422386,126.708083
37.4224,126.708073
37.422384,126.708234
37.422346,126.70888
37.422323,126.709397
37.422289,126.709944
37.422257,126.710357
37.422253,126.710476
37.422238,126.710558
37.422234,126.710662
37.422224,126.710903
37.422198,126.711421
37.422174,126.711846
37.422158,126.712243
37.422156,126.71245
37.422145,126.712669
37.422134,126.712872
37.422179,126.712966
37.422209,126.713067
37.422197,126.713324
37.422181,126.713715
37.42216,126.714161
37.422136,126.714672
37.422118,126.715012
37.42211,126.715208
37.422103,126.715339
37.4221,126.715361
37.422014,126.715567
37.421996,126.71596
37.421972,126.716316
37.421949,126.716796
37.42193,126.717253
37.421912,126.717746
37.421896,126.718182
37.421874,126.718798
37.42185,126.719467
37.42152,126.719777
37.421221,126.719994
37.420871,126.720251
37.420616,126.720443
37.420251,126.720731
37.419917,126.721
37.419497,126.721348
37.419159,126.721631
37.418817,126.721919
37.418526,126.722165
37.418105,126.722521
37.417721,126.722846
37.417237,126.723255
37.41669,126.723717
37.416301,126.724043
37.415974,126.72432
37.41558,126.72465
37.415028,126.725122
37.41459,126.72551
37.414014,126.725504
37.413493,126.725361
37.413004,126.725195
37.412427,126.724948
37.411994,126.72483
37.411249,126.724683
37.410804,126.724364
37.410049,126.723823
37.409329,126.723309
37.408656,126.723021
37.407873,126.722946
37.407215,126.723071
37.40667,126.723234
37.406226,126.723366
37.406101,126.723404
37.406101,126.723404
