lat,lng
37.505562,126.641695
37.504796,126.641698
37.504141,126.641698
37.503508,126.641697
37.502767,126.641695
37.501982,126.641693
37.501395,126.641692
37.500943,126.641691
37.500414,126.641691
37.500052,126.641696
37.499823,126.641699
37.499723,126.641701
37.499582,126.641703
37.499143,126.641709
37.499166,126.642617
37.499154,126.643318
37.499134,126.644293
37.499118,126.645152
37.499108,126.646131
37.499117,126.646892
37.499123,126.647504
37.499124,126.647573
37.499118,126.647763
37.499109,126.648302
37.499109,126.649124
37.499123,126.650028
37.499122,126.651066
37.499129,126.651953
37.499141,126.653001
37.499157,126.65398
37.499166,126.655026
37.499162,126.655458
37.499163,126.655823
37.499163,126.655866
37.499166,126.65623
37.499168,126.6564
37.499169,126.656562
37.499172,126.657081
37.499175,126.657518
37.499176,126.657649
37.499176,126.657647
37.499177,126.657805
37.49918,126.658172
37.499183,126.658584
37.499185,126.658928
37.499188,126.659295
37.49919,126.659613
37.499191,126.659726
37.499193,126.659857
37.499196,126.660119
37.499195,126.660509
37.4992,126.661209
37.499205,126.661821
37.499209,126.662507
37.49921,126.662854
37.49921,126.66293
37.49921,126.662939
37.499172,126.663161
37.499211,126.663684
37.499211,126.6642
37.499212,126.664684
37.499213,126.665349
37.499213,126.665812
37.499213,126.66587
37.499214,126.665998
37.499214,126.666184
37.499214,126.666394
37.499214,126.666443
37.499214,126.666553
37.499215,126.666987
37.499215,126.66724
37.499215,126.667255
37.499215,126.667354
37.499215,126.667717
37.499704,126.66782
37.500122,126.667843
37.500221,126.667849
37.500399,126.667859
37.500775,126.667881
37.501286,126.667909
37.501728,126.667934
37.502033,126.667951
37.502262,126.667964
37.502266,126.667964
37.502387,126.667972
37.502766,126.667994
37.50328,126.668023
37.504088,126.668067
37.504847,126.668116
37.505378,126.668147
37.505851,126.668174
37.505937,126.668179
37.506317,126.6682
37.5069,126.668238
37.507597,126.668285
37.508178,126.668323
37.508724,126.668357
37.509468,126.668399
37.509757,126.668415
37.509884,126.668422
37.509894,126.668423
37.509964,126.668427
37.510041,126.668951
37.510025,126.669303
37.510002,126.669851
37.50999,126.670178
37.509981,126.670457
37.510131,126.670571
37.510473,126.670575
37.510733,126.670588
37.510947,126.670605
37.511096,126.670628
37.511153,126.670953
37.511143,126.671155
37.511135,126.67132
37.511129,126.671429
37.511123,126.671548
37.511111,126.671777
37.511108,126.671844
37.511079,126.672391
37.511074,126.672473
37.510868,126.672553
37.510798,126.672549
37.51065,126.672474
37.51065,126.672474
