lat,lng
37.429141,126.705917
37.429151,126.70592
37.42919,126.706004
37.42931,126.706027
37.429472,126.706022
37.429648,126.706026
37.429758,126.706043
37.429889,126.706024
37.43003,126.706002
37.430217,126.706066
37.43046,126.706213
37.43069,126.706302
37.430978,126.706328
37.431238,126.706467
37.431261,126.706709
37.431248,126.707361
37.43134,126.708104
37.431085,126.708304
37.430574,126.708477
37.429643,126.708764
37.428539,126.709202
37.427272,126.709742
37.426121,126.710111
37.425012,126.709932
37.424032,126.709768
37.423225,126.70966
37.422567,126.709538
37.421902,126.709447
37.421048,126.709332
37.420348,126.709148
37.419913,126.708913
37.419712,126.708635
37.419554,126.708704
37.419539,126.708711
37.419445,126.708629
37.418975,126.708259
37.418231,126.707731
37.417493,126.70716
37.416905,126.706669
37.416275,126.70618
37.415646,126.70578
37.414874,126.705179
37.414036,126.704576
37.413287,126.70406
37.412575,126.703525
37.411686,126.702832
37.410957,126.702334
37.410225,126.701739
37.409267,126.701046
37.408327,126.700389
37.407594,126.699809
37.406682,126.699152
37.405864,126.698523
37.405469,126.698231
37.405459,126.698183
37.405142,126.697951
37.40444,126.697556
37.403669,126.696922
37.403078,126.696474
37.402466,126.696044
37.402106,126.695866
37.402011,126.695805
37.402029,126.69579
37.401781,126.69572
37.401561,126.696214
37.401209,126.696969
37.400767,126.697905
37.400298,126.698887
37.399729,126.700083
37.399288,126.701088
37.399012,126.702152
37.398917,126.703262
37.398913,126.704437
37.398919,126.705401
37.398926,126.70608
37.398927,126.706539
37.398927,126.706789
37.398927,126.706814
37.398928,126.707082
37.398927,126.707797
37.398924,126.708617
37.39893,126.709574
37.398941,126.710774
37.39898,126.712033
37.399049,126.713099
37.399239,126.714346
37.399396,126.715229
37.399519,126.715918
37.399615,126.716435
37.399712,126.716921
37.400232,126.716906
37.400799,126.716769
37.401257,126.716659
37.401588,126.716583
37.40185,126.716522
37.40193,126.716504
37.402114,126.716752
37.402168,126.717067
37.402229,126.717423
37.402315,126.717928
37.402358,126.718176
37.402455,126.718821
37.402516,126.719207
37.402569,126.719537
37.402598,126.719725
37.402616,126.719838
37.402632,126.719937
37.402646,126.720025
37.402688,126.720295
37.402705,126.720423
37.402422,126.720488
37.402144,126.720578
37.401915,126.720652
37.401738,126.720987
37.401797,126.721306
37.401867,126.721701
37.401928,126.722055
37.401992,126.722422
37.402065,126.722841
37.402133,126.723217
37.402206,126.723626
37.402255,126.723551
37.402243,126.723492
37.402271,126.723469
37.40234,126.72339
37.402344,126.723281
37.402328,126.723191
37.402344,126.723112
37.402322,126.72299
37.402287,126.72287
37.402292,126.722801
37.402311,126.722752
37.402339,126.722681
37.40238,126.722585
37.402449,126.722579
37.402805,126.722841
37.402805,126.72284
37.402834,126.722833
37.40289,126.722818
37.402766,126.722461
37.402766,126.722461
