lat,lng
37.478994,126.652738
37.478939,126.652866
37.478803,126.652663
37.478659,126.652439
37.478536,126.652298
37.478527,126.652698
37.478713,126.652987
37.478979,126.653405
37.479488,126.653952
37.480023,126.654789
37.48042,126.655409
37.480612,126.655709
37.480235,126.65641
37.479912,126.657016
37.479588,126.657629
37.47938,126.658025
37.479201,126.658364
37.479173,126.658419
37.479148,126.658465
37.478925,126.658891
37.478594,126.659522
37.478155,126.660352
37.477565,126.661467
37.476954,126.662619
37.476481,126.663514
37.476018,126.664394
37.475645,126.665048
37.475257,126.665651
37.474933,126.666172
37.474638,126.666644
37.474559,126.666769
37.47456,126.666768
37.474503,126.666859
37.474355,126.667096
37.474031,126.667613
37.47382,126.667948
37.473765,126.668036
37.473694,126.668154
37.473476,126.668517
37.473188,126.66902
37.472798,126.669651
37.472616,126.669947
37.47253,126.670088
37.472253,126.670532
37.471963,126.671128
37.471828,126.671852
37.471723,126.672414
37.47151,126.673343
37.47139,126.674027
37.471288,126.674712
37.471154,126.675417
37.471044,126.675997
37.470947,126.67654
37.470863,126.677008
37.470757,126.6776
37.470587,126.678566
37.470473,126.679214
37.47042,126.67951
37.470379,126.679748
37.470268,126.680355
37.470118,126.681161
37.469944,126.682118
37.469741,126.683205
37.469535,126.684344
37.469369,126.685257
37.469201,126.685992
37.469109,126.686715
37.469069,126.68692
37.469061,126.686962
37.469003,126.687261
37.468829,126.688181
37.468681,126.688997
37.468559,126.689663
37.468514,126.689905
37.468489,126.690042
37.468464,126.690178
37.468069,126.690295
37.467344,126.690121
37.466531,126.690051
37.466217,126.690025
37.466125,126.690021
37.465942,126.689979
37.465759,126.689936
37.465503,126.689903
37.465153,126.689874
37.464735,126.689838
37.464229,126.689802
37.463471,126.689742
37.462813,126.689699
37.462073,126.689664
37.461374,126.689619
37.46067,126.68955
37.459926,126.689496
37.459463,126.689472
37.459237,126.689488
37.459056,126.689479
37.458937,126.689501
37.458537,126.689468
37.458068,126.689433
37.457448,126.689438
37.45687,126.689475
37.456831,126.689478
37.456795,126.689481
37.456506,126.689503
37.455926,126.689543
37.455431,126.689568
37.455349,126.689574
37.455337,126.689574
37.455075,126.689593
37.454802,126.689614
37.454632,126.689627
37.454386,126.689647
37.454088,126.689671
37.453638,126.689686
37.45331,126.689708
37.453143,126.689719
37.453107,126.689721
37.453033,126.689726
37.452652,126.689749
37.452268,126.689772
37.45195,126.689793
37.451669,126.689812
37.451559,126.689816
37.451308,126.689827
37.450825,126.689861
37.450722,126.690353
37.450675,126.691029
37.450634,126.691561
37.450609,126.691934
37.450602,126.69207
37.450589,126.692294
37.450564,126.692714
37.45053,126.693232
37.450491,126.693923
37.450443,126.694642
37.450408,126.695328
37.450373,126.696111
37.450327,126.697002
37.450282,126.697817
37.450251,126.698319
37.450217,126.698839
37.450178,126.699431
37.450129,126.700308
37.450106,126.700851
37.450085,126.701365
37.450042,126.702079
37.449996,126.702866
37.449959,126.70352
37.449914,126.704389
37.44986,126.705367
37.449821,126.70608
37.449802,126.706536
37.449787,126.706804
37.449499,126.707222
37.449147,126.707562
37.448657,126.707492
37.448103,126.707415
37.447491,126.707321
37.446682,126.707211
37.44604,126.707121
37.445326,126.707018
37.444864,126.706952
37.44448,126.706897
37.444422,126.706889
37.444299,126.706871
37.444116,126.706845
37.443666,126.706779
37.443273,126.706722
37.442803,126.706653
37.442178,126.706564
37.441739,126.7065
37.44148,126.706464
37.441059,126.706405
37.440475,126.706323
37.439995,126.706251
37.439551,126.706226
37.439395,126.706232
37.439372,126.706233
37.439221,126.706243
37.438871,126.706281
37.438223,126.706438
37.43763,126.706603
37.436896,126.706812
37.436044,126.707053
37.435309,126.707261
37.434601,126.707461
37.433711,126.707695
37.432936,126.707847
37.432079,126.708102
37.431471,126.708279
37.430716,126.708503
37.429807,126.708779
37.428994,126.709056
37.427974,126.709396
37.427094,126.709739
37.426343,126.709946
37.425501,126.709927
37.424591,126.709785
37.423964,126.709724
37.423429,126.709719
37.423333,126.709704
37.42317,126.709695
37.422941,126.709663
37.422636,126.709614
37.422323,126.71053
37.422288,126.711338
37.422274,126.711666
37.422266,126.711834
37.422263,126.711908
37.422251,126.712196
37.422232,126.712631
37.422219,126.712907
37.422208,126.713131
37.4222,126.713298
37.422196,126.713393
37.422195,126.713411
37.422191,126.713489
37.422179,126.713745
37.422165,126.71406
37.422144,126.714492
37.422129,126.714816
37.422121,126.715003
37.422119,126.71503
37.422116,126.715098
37.4221,126.71544
37.422082,126.715821
37.42206,126.716299
37.422029,126.717065
37.422004,126.717732
37.421981,126.71837
37.421966,126.718781
37.42196,126.718962
37.421952,126.719183
37.421949,126.719254
37.421943,126.719415
37.421726,126.719632
37.421225,126.719992
37.420831,126.720281
37.42052,126.720517
37.420059,126.720884
37.419613,126.721252
37.419171,126.721621
37.418648,126.722062
37.418091,126.722533
37.417587,126.722959
37.41713,126.723345
37.416643,126.723756
37.41604,126.724263
37.415501,126.724716
37.414866,126.725265
37.414397,126.725612
37.413858,126.72546
37.413261,126.725282
37.412751,126.7251
37.412189,126.724851
37.411735,126.724882
37.41125,126.724683
37.41126,126.724422
37.411288,126.724396
37.411261,126.72446
37.411242,126.724429
37.411258,126.724443
37.411258,126.724443
